2026-07-09 19:09:38.146 | INFO     | app.view.main_window:initWindow:64 | 窗口初始化完成并显示
2026-07-09 19:09:38.151 | INFO     | app.view.setting_interface:__init__:34 | [Setting] SoftwareSettingWidget 初始化
2026-07-09 19:09:38.169 | INFO     | app.view.setting_interface:__init__:182 | [Setting] LicenseSettingWidget 初始化
2026-07-09 19:09:38.342 | INFO     | app.view.setting_interface:_loadDeviceId:272 | [Setting] 设备码加载成功: 6a381896f683703f...
2026-07-09 19:09:38.397 | DEBUG    | app.view.main_window:connectSignalToSlot:29 | 连接信号和槽
2026-07-09 19:09:38.397 | INFO     | app.view.main_window:initNavigation:32 | 开始初始化导航界面
2026-07-09 19:09:38.419 | INFO     | app.view.main_window:initNavigation:40 | 导航界面初始化完成
2026-07-09 19:09:38.419 | INFO     | app.view.main_window:__init__:26 | 主窗口初始化完成
2026-07-09 19:09:58.371 | INFO     | __main__:<module>:48 | 应用程序退出
2026-07-09 19:14:37.798 | INFO     | app.view.main_window:__init__:16 | 开始初始化主窗口
2026-07-09 19:14:37.909 | INFO     | app.view.main_window:initWindow:43 | 开始初始化窗口设置
2026-07-09 19:14:38.263 | DEBUG    | app.view.main_window:initWindow:50 | 已设置窗口基本属性
2026-07-09 19:14:38.265 | DEBUG    | app.view.main_window:initWindow:55 | 已创建并设置启动屏幕
2026-07-09 19:14:38.266 | DEBUG    | app.view.main_window:initWindow:60 | 已移动窗口到屏幕中心
2026-07-09 19:14:38.295 | INFO     | app.view.main_window:initWindow:64 | 窗口初始化完成并显示
2026-07-09 19:14:38.299 | INFO     | app.view.setting_interface:__init__:34 | [Setting] SoftwareSettingWidget 初始化
2026-07-09 19:14:38.317 | INFO     | app.view.setting_interface:__init__:182 | [Setting] LicenseSettingWidget 初始化
2026-07-09 19:14:38.433 | INFO     | app.view.setting_interface:_loadDeviceId:270 | [Setting] 设备码加载成功: 6a381896f683703f...
2026-07-09 19:14:38.494 | DEBUG    | app.view.main_window:connectSignalToSlot:29 | 连接信号和槽
2026-07-09 19:14:38.496 | INFO     | app.view.main_window:initNavigation:32 | 开始初始化导航界面
2026-07-09 19:14:38.519 | INFO     | app.view.main_window:initNavigation:40 | 导航界面初始化完成
2026-07-09 19:14:38.521 | INFO     | app.view.main_window:__init__:26 | 主窗口初始化完成
2026-07-09 19:14:42.086 | INFO     | app.view.setting_interface:_copyDeviceId:282 | [Setting] 设备码已复制到剪贴板
2026-07-09 19:15:17.563 | INFO     | __main__:<module>:48 | 应用程序退出
2026-07-09 19:23:17.071 | INFO     | app.view.main_window:__init__:16 | 开始初始化主窗口
2026-07-09 19:23:17.185 | INFO     | app.view.main_window:initWindow:43 | 开始初始化窗口设置
2026-07-09 19:23:17.571 | DEBUG    | app.view.main_window:initWindow:50 | 已设置窗口基本属性
2026-07-09 19:23:17.573 | DEBUG    | app.view.main_window:initWindow:55 | 已创建并设置启动屏幕
2026-07-09 19:23:17.573 | DEBUG    | app.view.main_window:initWindow:60 | 已移动窗口到屏幕中心
2026-07-09 19:23:17.607 | INFO     | app.view.main_window:initWindow:64 | 窗口初始化完成并显示
2026-07-09 19:23:17.610 | INFO     | app.view.setting_interface:__init__:34 | [Setting] SoftwareSettingWidget 初始化
2026-07-09 19:23:17.629 | INFO     | app.view.setting_interface:__init__:182 | [Setting] LicenseSettingWidget 初始化
2026-07-09 19:23:17.690 | INFO     | app.view.setting_interface:_loadDeviceId:271 | [Setting] 设备码加载成功: 6a381896f683703f...
2026-07-09 19:23:17.692 | INFO     | app.view.setting_interface:_updateActivationStatus:361 | [Setting] 当前状态: 未激活
2026-07-09 19:23:17.748 | DEBUG    | app.view.main_window:connectSignalToSlot:29 | 连接信号和槽
2026-07-09 19:23:17.749 | INFO     | app.view.main_window:initNavigation:32 | 开始初始化导航界面
